"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"ENSG00000174514.12",3498.17496103609,-4.7999812894427,0.125705822228373,-38.1842400324341,0,0,"DOWN"
"ENSG00000185633.10",67344.9901262716,5.97205703723982,0.150252451687417,39.7468192376921,0,0,"UP"
"ENSG00000129521.13",24975.2157283312,4.38509817177806,0.113575907357484,38.6094047039029,0,0,"UP"
"ENSG00000224490.5",1390.98817036997,9.12615937455091,0.229507615743279,39.7640807909363,0,0,"UP"
"ENSG00000187730.7",707.384086699043,5.11557627854304,0.142354911925666,35.9353689264635,8.56706428982551e-283,4.97318082024371e-279,"UP"
"ENSG00000159263.15",449.003303567165,-4.9002038865652,0.136422265878737,-35.9193849699059,1.52203136394595e-282,7.36282672308852e-279,"DOWN"
"ENSG00000107159.12",12592.4430688964,6.56739218758055,0.183819561391893,35.7273847127686,1.48548455004647e-279,6.15945558072841e-276,"UP"
"ENSG00000050767.15",9042.86097564376,5.15403647982797,0.14524750416908,35.4845097636117,8.52146998679906e-276,3.09169582958553e-272,"UP"
"ENSG00000213963.6",491.68932613397,-3.58693162762817,0.101371034088464,-35.3841870104426,2.98953183873343e-274,9.64124017991531e-271,"DOWN"
"ENSG00000214145.6",1512.04309541239,5.69421226085557,0.162446226627751,35.0529056849314,3.52129724889922e-269,1.022056526493e-265,"UP"
"ENSG00000184661.13",1014.51424292971,4.87059932386573,0.139076865640531,35.0209166811012,1.08107052673078e-268,2.85255200348737e-265,"UP"
"ENSG00000263429.3",67.8747903705892,-7.19846487844491,0.206145559533992,-34.9193302767113,3.78390297423306e-267,9.1523153189262e-264,"DOWN"
"ENSG00000249859.7",539.544582146152,3.88756609111885,0.111505627193344,34.8643040622339,2.58495992292953e-266,5.77142013561767e-263,"UP"
"ENSG00000073060.15",11902.6396819897,3.97707471898077,0.114217618518707,34.8201509588419,1.20536513236354e-265,2.49898021191798e-262,"UP"
"ENSG00000014257.15",410.584225955564,-5.37614943629815,0.155416757330542,-34.5918260594261,3.35293663636967e-262,6.48793239137532e-259,"DOWN"
"ENSG00000170231.15",1082.55395264555,6.86436157100437,0.20140712199192,34.0820200552776,1.36226359089751e-254,2.47123129536251e-251,"UP"
"ENSG00000171208.9",3362.7059028886,3.45515289431775,0.102188779154782,33.8114705244138,1.33781736467118e-250,2.28412641232829e-247,"UP"
"ENSG00000095970.16",1183.61036675991,4.40486213203272,0.132769355678287,33.1767982869943,2.32678276909256e-241,3.75193721516175e-238,"UP"
"ENSG00000082684.14",7316.07506817252,3.88319027745544,0.117701116334984,32.9919579216535,1.0593299384266e-238,1.61826586646485e-235,"UP"
"ENSG00000123610.4",2314.11558508792,5.85773065252365,0.177562210806214,32.9897370951108,1.13993440104256e-238,1.65432979951301e-235,"UP"
"ENSG00000273335.1",41.167857838057,-6.27759230954316,0.19077766520372,-32.9052790474173,1.84711792385593e-237,2.55298084475802e-234,"DOWN"
"ENSG00000237517.8",3252.68678014963,4.75552586012951,0.147650943833817,32.20789340488,1.36841443599252e-227,1.8053740456674e-224,"UP"
"ENSG00000163873.9",1339.7860206654,5.12416121123958,0.160516311266602,31.9229938116934,1.28096281083458e-223,1.61651937323798e-220,"UP"
"ENSG00000113532.12",2715.87381844332,3.59733657235071,0.11272973060288,31.9111609077048,1.86946766230693e-223,2.26088745410245e-220,"UP"
"ENSG00000113739.10",6460.62015879163,3.98739346753991,0.126566300579735,31.5043850478028,7.56466869025744e-218,8.78258034938888e-215,"UP"
"ENSG00000106236.3",9208.55787195056,7.04419275349806,0.223641090945149,31.4977570701698,9.32302296418339e-218,1.04077208282855e-214,"UP"
"ENSG00000061656.9",2048.54519253073,3.55212656240498,0.11325712203864,31.3633835865359,6.39181721827262e-216,6.87120350964307e-213,"UP"
"ENSG00000167772.11",38043.4826976939,4.71414761119853,0.150636804685777,31.2947929361094,5.49314517408224e-215,5.69423352420489e-212,"UP"
"ENSG00000154269.14",12733.4709619845,4.87797577870509,0.156657483268945,31.1378408290316,7.40988661318869e-213,7.41627444647592e-210,"UP"
"ENSG00000135245.9",9252.19906660455,4.14473207934756,0.133291237742431,31.0953079103126,2.78729851773727e-212,2.69671131591081e-209,"UP"
"ENSG00000105366.15",378.27165811991,4.99627438442616,0.161060827358094,31.0210401025552,2.8052609753538e-211,2.6265387035369e-208,"UP"
"ENSG00000147889.16",323.366937233471,4.7664553378961,0.154536407482088,30.8435754108531,6.83081592495048e-209,6.19576350692774e-206,"UP"
"ENSG00000233610.1",498.452555369186,6.78557525520631,0.221764083992904,30.5981705108905,1.29450441209524e-205,1.13857547154741e-202,"UP"
"ENSG00000125726.10",2246.18558880581,6.3589631492194,0.207965841453549,30.5769596813318,2.47838597086327e-205,2.11573978836196e-202,"UP"
"ENSG00000026025.13",181553.03884556,2.55825347762181,0.0836965747090514,30.5658085353539,3.48642716984339e-205,2.8912442458487e-202,"NOT"
"ENSG00000130208.9",5906.51061124168,5.09663274156622,0.167188409839041,30.4843663892308,4.1995751433665e-204,3.38590745933924e-201,"UP"
"ENSG00000134574.11",2383.52992395709,1.93592062772533,0.0638721482586057,30.3093082118856,8.64321673832453e-202,6.78025313053701e-199,"NOT"
"ENSG00000142319.17",7553.09314456115,6.71697104164008,0.222740660294695,30.1560165654229,8.94485587403019e-200,6.83222215115069e-197,"UP"
"ENSG00000134716.9",6861.65393488313,5.32419918257624,0.177675047166743,29.9659365086851,2.72815267414477e-197,2.03037516325774e-194,"UP"
"ENSG00000130822.15",5451.63921821386,6.54245497032116,0.219238667320117,29.8417019693352,1.12489192279598e-195,8.16249701478833e-193,"UP"
"ENSG00000164105.3",855.518210991402,2.26751888118584,0.0768207759186819,29.5170004997881,1.742274205761e-191,1.23340265420032e-188,"NOT"
"ENSG00000181418.7",302.85097218521,-6.43978889150436,0.218595643531432,-29.459822654601,9.4235291865718e-191,6.51233177714873e-188,"DOWN"
"ENSG00000146674.14",117491.435692534,3.73805894289378,0.127042438594093,29.4237026954203,2.7326828422706e-190,1.84456091853266e-187,"UP"
"ENSG00000159399.9",4574.22451211728,3.46397502606245,0.118633073492081,29.1990667028758,1.99285173947191e-187,1.31460276677664e-184,"UP"
"ENSG00000170561.12",237.322602530739,-5.04462356993285,0.172778548826288,-29.1970479217574,2.11399625158536e-187,1.36352758227256e-184,"DOWN"
"ENSG00000182379.9",1112.0087160699,4.6509667626636,0.160093389409732,29.0515853266135,1.46945480337641e-185,9.27194036260874e-183,"UP"
"ENSG00000186918.13",21009.3525478088,2.55821030956471,0.0881910787071206,29.0075861081191,5.278714632226e-185,3.25988706809276e-182,"NOT"
"ENSG00000164283.12",12167.2468811615,3.62844006610593,0.125231055472447,28.9739637857181,1.40072748260512e-184,8.47002399637786e-182,"UP"
"ENSG00000240758.2",113.134205142588,4.96555544530228,0.171812577145722,28.9010008917495,1.15984283280384e-183,6.87029351472068e-181,"UP"
"ENSG00000176887.6",271.710994324665,5.70901535723193,0.197579581089402,28.894763951588,1.3892085319514e-183,8.0643555279779e-181,"UP"
"ENSG00000139370.10",4271.03154716409,1.90970899649658,0.0663373404042517,28.7878438426841,3.0451884118268e-182,1.73307046378967e-179,"NOT"
"ENSG00000256694.1",176.441846034565,3.54168220936264,0.123475280737142,28.683329879624,6.15876385730696e-181,3.43765617227566e-178,"UP"
"ENSG00000123095.5",6643.92522287789,2.9050633754241,0.101378202414384,28.6557002021957,1.36122066352938e-180,7.45460938847931e-178,"UP"
"ENSG00000089041.16",902.519290700371,2.63287850225874,0.0924545235569624,28.4775520003258,2.22226244310431e-178,1.19446606316857e-175,"NOT"
"ENSG00000140795.12",84.5265861956199,-3.95005161716389,0.138814844207812,-28.4555419105645,4.1613866329173e-178,2.19607721855318e-175,"DOWN"
"ENSG00000131080.14",787.657991887648,2.3056036822892,0.0810276013578273,28.4545468908476,4.28104250754564e-178,2.21887962109843e-175,"NOT"
"ENSG00000164303.10",274.328303574981,-4.9782305053442,0.175099127115305,-28.4309270260724,8.38830566042264e-178,4.27141354024153e-175,"DOWN"
"ENSG00000273585.1",93.7246603305619,6.41518697740682,0.226414393794196,28.3338301505603,1.32434928854321e-176,6.62745484482185e-174,"UP"
"ENSG00000243284.1",31.0498819742418,-5.61589238246914,0.199044800695197,-28.2142128950604,3.91422412061324e-175,1.9255992389966e-172,"DOWN"
"ENSG00000233542.1",43.0797797690455,4.79892196574032,0.170629532595412,28.124802856486,4.87360970430248e-174,2.35760869445632e-171,"UP"
"ENSG00000179399.13",97.1544718607161,-5.49026797741627,0.195796434634488,-28.0406943449481,5.18741471698382e-173,2.46827396984353e-170,"DOWN"
"ENSG00000261175.5",715.316035777025,3.77578239349044,0.134775308914279,28.0153866751064,1.0553531019372e-172,4.94058448124635e-170,"UP"
"ENSG00000135094.10",637.161676366972,4.45216953477312,0.159275063136616,27.9527092759921,6.11091685481785e-172,2.8153866938268e-169,"UP"
"ENSG00000112715.20",78741.1895055032,2.98276552875629,0.107611806185945,27.717827945405,4.25767458786762e-169,1.9309219517634e-166,"UP"
"ENSG00000173567.14",69.9630881431176,-3.73577100632064,0.1348758425131,-27.6978511252509,7.41093625711191e-169,3.30926807481036e-166,"DOWN"
"ENSG00000082929.8",115.511360647481,5.71848292358788,0.206580041436593,27.6816815594603,1.16030816417003e-168,5.10271885833865e-166,"UP"
"ENSG00000104327.7",3183.92592001266,-7.44593727536874,0.269087668913766,-27.6710460402216,1.55802876966033e-168,6.74952015513301e-166,"DOWN"
"ENSG00000087494.15",2127.52683179462,6.62698447477713,0.239741584543782,27.6421985254999,3.4635240484066e-168,1.47836449272061e-165,"UP"
"ENSG00000256540.1",139.075553018741,3.4084809108708,0.123445694086478,27.6111770126469,8.16966733698205e-168,3.43658832544789e-165,"UP"
"ENSG00000248115.1",83.5697247512771,-6.5589357125756,0.237745795229461,-27.5880198269972,1.54930892081089e-167,6.42409877521946e-165,"DOWN"
"ENSG00000119715.14",402.496644382742,-5.61418253917617,0.203764455866273,-27.552315320689,4.15154208610573e-167,1.69716209928477e-164,"DOWN"
"ENSG00000178776.4",737.896458018863,8.13725641434323,0.295847812075967,27.5048727156169,1.53517111283384e-166,6.18865854861143e-164,"UP"
"ENSG00000272711.1",132.433789417138,3.28567745635292,0.119531676469954,27.4879224770082,2.44813664510732e-166,9.73385837318357e-164,"UP"
"ENSG00000188060.6",1360.79713296587,4.8594135750849,0.177306981649586,27.406780770137,2.27690148689662e-165,8.9306845482668e-163,"UP"
"ENSG00000115902.10",1756.74156337683,1.91858240900166,0.0701318278005546,27.3568003169381,8.96376467424122e-165,3.46897692893135e-162,"NOT"
"ENSG00000140939.14",4835.82147040574,2.6993383968677,0.09897119765932,27.2739793061756,8.63580869304131e-164,3.29808351730952e-161,"UP"
"ENSG00000162779.20",27.9844405424627,-4.20868175587198,0.154552391638791,-27.2314243166694,2.75833717790947e-163,1.03974982582886e-160,"DOWN"
"ENSG00000185567.6",7959.3295534458,4.01250368001624,0.147367715354784,27.2278339279146,3.04202825854383e-163,1.13198551543891e-160,"UP"
"ENSG00000135374.9",328.176388375732,-7.54147283352326,0.277440962310438,-27.1822616628789,1.05274988909197e-162,3.86785639631575e-160,"DOWN"
"ENSG00000112769.18",8474.76123894477,2.67943409820478,0.0987611400002555,27.1304492657522,4.30744252591258e-162,1.56279399143266e-159,"UP"
"ENSG00000225174.1",286.655431586891,7.81312568807506,0.288024247431509,27.1266247815923,4.77903002635585e-162,1.71248575944418e-159,"UP"
"ENSG00000113578.17",1503.13872124579,-4.19557233502571,0.154694407754869,-27.1216807117816,5.46586883488298e-162,1.93471759673754e-159,"DOWN"
"ENSG00000182963.9",1713.1439973893,2.76569937359402,0.102021933843434,27.1088703125188,7.73961358378873e-162,2.70653354541527e-159,"UP"
"ENSG00000121966.6",9768.90784223355,2.71214864953967,0.10017781579563,27.0733458101406,2.02885693846764e-161,7.01042531416944e-159,"UP"
"ENSG00000231890.7",211.059151596469,2.85029079053568,0.105368493736015,27.0506931386594,3.7484198631454e-161,1.27997513562112e-158,"UP"
"ENSG00000091879.13",5803.31784179519,3.39735727947671,0.125636431967501,27.041179268411,4.85008737838385e-161,1.63690449020455e-158,"UP"
"ENSG00000272870.1",362.84091932274,2.70196714243988,0.100293290437535,26.9406570534519,7.33980776528467e-160,2.44871172859066e-157,"UP"
"ENSG00000163399.15",67779.6510574757,-2.48598738060137,0.0925161162214526,-26.8708575557879,4.81301163784181e-159,1.5874734407768e-156,"NOT"
"ENSG00000273032.1",419.385972536148,3.57760612572686,0.13319005517841,26.8609103054624,6.28982921119525e-159,2.05126171747126e-156,"UP"
