"","logFC","logCPM","LR","PValue","FDR","change"
"ENSG00000263429.3",-7.19015664458103,0.268093906007026,1770.01412021992,0,0,"DOWN"
"ENSG00000273335.1",-6.2929127330359,-0.459510614682509,1696.52897152654,0,0,"DOWN"
"ENSG00000014257.15",-5.40401229071254,2.80312826008712,1838.72825906676,0,0,"DOWN"
"ENSG00000174514.12",-4.90242601071675,5.8962948843371,2524.6317073097,0,0,"DOWN"
"ENSG00000159263.15",-4.90048839858374,2.87861631523945,2062.47654097645,0,0,"DOWN"
"ENSG00000213963.6",-3.57604949714838,3.03101729572934,1829.74741256123,0,0,"DOWN"
"ENSG00000170561.12",-5.06132646448176,1.99250393216574,1330.19618349786,3.09902560215774e-291,1.28498883003755e-287,"DOWN"
"ENSG00000181418.7",-6.37302083638779,2.31142460108413,1263.44520233938,9.93525489902824e-277,3.60463466805368e-273,"DOWN"
"ENSG00000119715.14",-5.71429490947721,2.75609665996933,1254.21086353537,1.0092078327526e-274,3.25469526062714e-271,"DOWN"
"ENSG00000164303.10",-4.96511836828667,2.20167792083882,1223.7194387352,4.27016972252606e-268,1.23941676196319e-264,"DOWN"
"ENSG00000173567.14",-3.78203087859199,0.256853311886969,1220.40010591407,2.24811203477212e-267,5.93195016447825e-264,"DOWN"
"ENSG00000088836.12",-4.48720084582938,3.05894915978867,1218.95882268304,4.62428731058883e-267,1.11849949324867e-263,"DOWN"
"ENSG00000179399.13",-5.4977430553346,0.72577988637039,1212.15340863504,1.39327044691512e-265,3.11074420936241e-262,"DOWN"
"ENSG00000243284.1",-5.49196810608168,-0.982182503200489,1200.19844669653,5.5229503005533e-263,1.14502594623971e-259,"DOWN"
"ENSG00000140795.12",-3.92835749221989,0.525065810588709,1173.44609458914,3.59962556413088e-257,6.96527546659326e-254,"DOWN"
"ENSG00000135374.9",-7.70613114611322,2.50725762502799,1146.25567121759,2.92189647543533e-251,5.3005028249694e-248,"DOWN"
"ENSG00000165125.17",-5.29844508987342,1.42445895592533,1119.71203122944,1.71641241378202e-245,2.93052178294254e-242,"DOWN"
"ENSG00000231324.1",-6.04096980242554,-1.11823654342489,1115.76373419965,1.23808122740038e-244,1.99640597918312e-241,"DOWN"
"ENSG00000248115.1",-6.42370486835098,0.404615525340292,1105.19464055125,2.45392730819383e-242,3.7486968484382e-239,"DOWN"
"ENSG00000177807.6",-5.73440412645559,4.12693197544839,1104.09133560634,4.26243541603652e-242,6.185859397523e-239,"DOWN"
"ENSG00000113578.17",-4.16105183070001,4.63275480949419,1097.5694500839,1.11468312790962e-240,1.54065132321793e-237,"DOWN"
"ENSG00000104327.7",-7.40582982005282,5.72332254033293,1085.21713641796,5.39355932293732e-238,7.11582087946616e-235,"DOWN"
"ENSG00000126803.9",-3.5809947292382,5.56921632111804,1078.93581869619,1.25055981598982e-236,1.57815211561324e-233,"DOWN"
"ENSG00000266968.2",-6.42682375749508,0.876628188733807,1064.26202711544,1.93395259088724e-233,2.33887391460425e-230,"DOWN"
"ENSG00000105219.8",-5.19657453154901,0.0743264691810902,1061.02386349328,9.7783277035216e-233,1.13526384637886e-229,"DOWN"
"ENSG00000162779.20",-4.01941676553835,-1.19667194748092,1060.03387209195,1.60487352648942e-232,1.79159438870598e-229,"DOWN"
"ENSG00000167107.12",-3.36125462648709,5.01194622498219,1055.146319094,1.85251229938968e-231,1.99145072184391e-228,"DOWN"
