"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ENSG00000161992.5",-8.73297566170935,-4.55036420920709,-58.1928841279995,2.05519038260631e-256,5.96519008551482e-252,576.593695218525,"DOWN"
"ENSG00000167580.7",-14.0336359637985,-1.36233358344161,-55.3224512163552,8.86457330065152e-245,1.28647120025705e-240,550.21570881277,"DOWN"
"ENSG00000150201.14",-11.0523940335575,-3.00414945382028,-53.8072551106317,1.78229215668416e-238,1.72436766159193e-234,535.724088711447,"DOWN"
"ENSG00000169347.16",-8.13227004648404,-4.4156339239233,-51.3642704198496,4.53847872136438e-228,3.29323362219003e-224,511.55629872724,"DOWN"
"ENSG00000008196.12",-8.74469746902905,-2.85593202340578,-51.2212803796975,1.885528463542e-227,1.09454927308613e-223,510.339680896687,"DOWN"
"ENSG00000165125.17",-6.27061131339765,-1.81027048673417,-51.0243929401601,1.34532291450646e-226,6.50799959892501e-223,508.301884731514,"DOWN"
"ENSG00000169344.15",-13.8801538699215,-0.529667438065619,-50.6979681920199,3.53278540504095e-225,1.46484423401877e-221,505.189966810906,"DOWN"
"ENSG00000075673.11",-8.25565777934584,-4.13775268593106,-48.6012254322734,6.27572613342724e-216,2.27691188778407e-212,483.734546775675,"DOWN"
"ENSG00000154975.13",-8.16724417545064,-3.62678931171094,-48.0507692556817,1.83840619457675e-213,5.92885997751003e-210,478.133463775215,"DOWN"
"ENSG00000162399.6",-9.69222509446747,-3.45767285523625,-47.4301561222622,1.16146120131154e-210,3.37114113680675e-207,471.790800245285,"DOWN"
"ENSG00000139144.9",-8.30592469083091,-3.77359549918358,-47.3109320181959,4.03063500047908e-210,1.06353800808096e-206,470.453279271323,"DOWN"
"ENSG00000113889.11",-11.3794514475502,-0.812917874158561,-47.0744353516012,4.78104770314666e-209,1.1564159131986e-205,468.119083075217,"DOWN"
"ENSG00000151704.15",-8.5794711368125,0.715442193150126,-46.9193624283362,2.42931288695911e-208,5.4239081956914e-205,466.515519491036,"DOWN"
"ENSG00000180251.4",-9.06429450071085,-3.33029624809776,-46.7463346015124,1.49523468551448e-207,3.09994191050413e-204,464.62291468021,"DOWN"
"ENSG00000156284.5",-10.3522608065454,-2.8517328273782,-46.4132662708108,4.99416049496919e-206,9.66370055776538e-203,461.164726901556,"DOWN"
"ENSG00000119715.14",-6.24987546108735,-0.888775141457933,-46.3965800310712,5.95604077399838e-206,1.08046302165814e-202,460.96460889255,"DOWN"
